titulo,datetime,duracao_min,genero_ano,sinopse,tem_imdb
Maputo Nakuzandza,2025-04-27 09:30:00,75.0,Drama / 2022,"Na capital de Moçambique, jovens saem de uma festa e nos quintais senhoras iniciam o dia. Um homem corre, um turista passeia, um trabalhador apanha o transporte e a rádio Maputo Nakuzandza anuncia o desaparecimento de uma noiva.",True
Gonzaga - De Pai pra Filho,2025-04-27 10:45:00,125.0,Biography / 2012 / 7.3,"A biografia de Luiz Gonzaga, o Rei do Baião. Desde a sua origem no sertão do Nordeste, passando pelo seu estrelato, até a complicada relação com seu filho Gonzaguinha, o filme busca contar a trajetória de vida de uma lenda da música brasileira.",True
Guard Dog & Bill Plympton no Brasil,2025-04-27 12:50:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Carmen Miranda: Bananas Is My Business,2025-04-27 12:55:00,90.0,Documentary / 1995 / 7.8,"O filme explora a vida de Carmem Miranda. Depois de conquistar fama no Rio de Janeiro, a Pequena Notável é importada pela Broadway no final da década de 1930. Apesar de sua estrela continuar a brilhar, a cantora também vira tema de controvérsia.",True
Guard Dog & Bill Plympton no Brasil,2025-04-27 14:25:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Cinejornal,2025-04-27 14:30:00,15.0,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país.",False
Premios Platino del Cine Iberoamericano 2019,2025-04-27 14:45:00,185.0,Special,"Transmissão da edição de 2019 dos ""Premios Platino del Cine Iberoamericano"".",False
Guard Dog & Bill Plympton no Brasil,2025-04-27 17:50:00,10.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Malu,2025-04-27 18:00:00,105.0,Drama / 2024 / 7.4,Malu é uma atriz desempregada que vive das memórias de seu passado glorioso e divide uma casa em uma favela do Rio de Janeiro com sua mãe conservadora. Ela também tem um relacionamento conturbado com sua filha.,True
Bizarros Peixes das Fossas Abissais,2025-04-27 19:45:00,75.0,Fantasy / 2023,"Uma mulher com esdrúxulos superpoderes, uma tartaruga com transtorno obsessivo-compulsivo e uma nuvem com incontinência pluviométrica participam de uma insólita jornada até as profundezas do oceano.",True
"Raoni, uma Amizade Improvável",2025-04-27 21:00:00,90.0,Documentary / 2023,"Homenagem à luta do cacique Raoni, no Brasil e no mundo, pela preservação dos territórios indígenas, de sua cultura e da Amazônia.",True
Neville D'Almeida - Cronista da Beleza e do Caos,2025-04-27 22:30:00,-1330.0,Documentary / 2019 / 8.2,"Por meio de entrevistas, imagens raras de arquivo e um vasto material iconográfico, conheça a vida e o trabalho do cineasta Neville D'Almeida, desde o Cinema Marginal até o presente. Responsável por grandes sucessos como ""A Dama da Lotação"" e ""As Sete Gatinhas"" e premiado em inúmeros festivais, Neville ainda assim teve muitos problemas com a censura durante o regime militar e também com o que ele chama de ""ditadura dos editais"".",True
A Suprema Felicidade,2025-04-27 00:20:00,125.0,Drama / 2010 / 5.0,"Adolescente precisa lidar com as frustrações do pai e se aproxima do avô, que o inicia na vida noturna. Logo, ele se apaixona por uma jovem misteriosa, mas o caso não dá certo. A reaproximação com o pai acontece em uma das visitas ao cabaré Eldorado.",True
Guard Dog & Bill Plympton no Brasil,2025-04-27 02:25:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Tentação na Cama,2025-04-27 02:30:00,85.0,Erotic / 1984 / 5.2,"Roberto Ramos é um empresário bem sucedido, mas solitário. Sua ex-mulher, Julia, e Fernando querem uma chave que Roberto possui para abrir um cofre, no qual está uma agenda com informações comprometedoras, escrituras de propriedades e dólares. A dupla faz de tudo para conseguir a informação de onde o objeto está escondido, o que envolve mortes, prostitutas e até um sequestro.",True
Guard Dog & Bill Plympton no Brasil,2025-04-27 03:55:00,5.0,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.,False
Vizinhos,2025-04-27 04:00:00,30.0,Temporada 1 Episódio 10 - Os Outros,"A chegada de uma família de hippies em um condomínio de luxo transforma a rotina da vizinhança. Incomodados com a situação, os antigos habitantes do prédio não poupam esforços para expulsá-los do local.",False
Bonde,2025-04-27 04:30:00,19.0,Drama / 2019,Três jovens negros da favela de Heliópolis saem em busca de refúgio na vida noturna LGBT+ do centro da cidade de São Paulo.,True
Os Mutantes,2025-04-27 04:49:00,11.0,Drama / 1970,"Uma brincadeira mutante improvisada por Arnaldo Batista, Sérgio Dias e Rita Lee, Os Mutantes, em um dia único pelas ruas de São Paulo.",True
Jards,2025-04-27 05:00:00,,Documentary / 2013,"A vida e a obra do cantor, músico e ator Jards Macalé é celebrada neste documentário. O artista carioca cresceu rodeado de música, estudou compositores eruditos, mas sempre representou a música popular brasileira. Conheça também o processo criativo do último álbum do autor de canções como ""Vapor Barato"", ""Gotham City"" e ""Movimento dos Barcos"" e sua destreza com diversos instrumentos musicais.",True
