,titulo,data,horario,genero_ano,sinopse
40,Rota de Fuga,2025-04-22,05:00,Thriller / 2016,"Manuela denuncia o marido para a Polícia Federal e entra no programa de proteção a testemunhas. Feito isso, ela abandona tudo e tenta fugir pra Europa antes que ele seja solto."
41,Cinejornal,2025-04-23,06:00,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país."
42,Esquinas - Pílulas,2025-04-23,06:15,Documentary,Reportagens documentais inspiradas na seção homônima da Revista Piauí. Personagens e eventos peculiares são colhidos pelos quatro cantos do país com uma abordagem inovadora.
43,4 Bilhões de Infinitos,2025-04-23,06:30,Drama / 2020,"Após a morte do pai, uma família vive com a energia de casa cortada. Enquanto a mãe trabalha, seus filhos ficam em casa e conversam sobre ter esperança."
44,Ainda Restarão Robôs nas Ruas do Interior Profundo,2025-04-23,06:44,Drama / 2022,"Na periferia do interior profundo brasileiro, Luquinha tenta recuperar sua égua enquanto convive com o crime e o barulho ensurdecedor de uma cidade conservadora."
45,Guard Dog & Bill Plympton no Brasil,2025-04-23,07:00,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
46,Vinicius,2025-04-23,07:05,Documentary / 2005 / 7.9,"Reconstituição da vida e trajetória artística do músico, poeta e diplomata Vinicius de Moraes, com depoimentos de amigos, familiares e colegas, imagens raras de arquivo, inserções de shows variados e trechos de um pocket show em sua homenagem."
47,Ademã - A Vida e as Notas de Ibrahim Sued,2025-04-23,09:10,Documentary / 2022,"Conheça a trajetória de Ibrahim Sued, jornalista que revolucionou a imprensa brasileira durante os quase 50 anos de carreira, por meio de entrevistas, fotos e filmes do arquivo pessoal de sua filha, Isabel Sued Perrin."
48,Guard Dog & Bill Plympton no Brasil,2025-04-23,10:55,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
49,Cristais de Sangue,2025-04-23,11:00,Drama / 1975,"Rui chega em uma cidadezinha procurando o pai. Antes disso, ele se envolve com uma moça, que tem problemas na família. O padrasto da moça é o chefe de uma quadrilha e não mede esforços para que Rui não encontre seu pai."
50,Guard Dog & Bill Plympton no Brasil,2025-04-23,12:25,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
51,Partido Alto,2025-04-23,12:30,Documentary / 1982,"Com raízes na batucada baiana, o Partido Alto é uma forma de comunhão, reunindo sambistas em qualquer lugar e hora, pelo simples prazer de se divertir."
52,Lô Borges - Toda Essa Água,2025-04-23,13:00,Documentary / 2024,"Lô Borges trabalha em um disco de músicas inéditas enquanto circula pelo Brasil com a turnê que resgata o repertório que compôs em 1972 para o Clube da Esquina. Entre o garoto de 20 anos e o experiente músico que acaba de ultrapassar os 70, ele revela uma trajetória de brilhos, medos, sonhos e o eterno desejo pela estrada e pela aventura da composição."
53,"Raoni, uma Amizade Improvável",2025-04-23,14:30,Documentary / 2023,"Homenagem à luta do cacique Raoni, no Brasil e no mundo, pela preservação dos territórios indígenas, de sua cultura e da Amazônia."
54,Entre a Colônia e as Estrelas,2025-04-23,16:00,Drama / 2022,"Estelar trabalha em um hospital psiquiátrico e tem visões do passado. Entre divergências políticas e identitárias com o irmão, ela nota que é preciso coragem para rever suas posições."
55,Mito e Música - A Mensagem de Fernando Pessoa,2025-04-23,16:55,Documentary / 2018,"O documentário aborda o projeto, que levou 30 anos para ser finalizado, sobre a gravação de 44 músicas criadas para cada poema de Mensagem, um dos livros mais emblemáticos de Fernando Pessoa."
56,Cinejornal,2025-04-23,18:30,Art,"O cinema brasileiro em pauta com as novidades e os bastidores da produção nacional, entrevistas com atores e diretores e a cobertura completa de festivais importantes em todo o país."
57,Esquinas - Pílulas,2025-04-23,18:45,Documentary,Reportagens documentais inspiradas na seção homônima da Revista Piauí. Personagens e eventos peculiares são colhidos pelos quatro cantos do país com uma abordagem inovadora.
58,Favela do Papa,2025-04-23,19:00,Documentary / 2024,"Um capítulo crucial da história do Rio de Janeiro na década de 1970: a resistência dos moradores da Favela do Vidigal contra a ordem de remoção imposta pelo governo. A produção resgata imagens de época e entrevistas que revelam a luta intensa da comunidade, apoiada por diversas entidades e personalidades influentes. Essa resistência se insere em um contexto maior, expondo a política de remoção em grande escala praticada pelos governos estaduais brasileiros na década de 1960."
59,Greice,2025-04-23,20:20,Comedy drama / 2024,"Greice, uma jovem brasileira de 21 anos, estuda na Universidade de Belas Artes de Lisboa. Ela se envolve com o misterioso Afonso. E depois de uma festa de boas-vindas para os novos estudantes, o casal é acusado de um estranho acidente que ocorreu no evento. Greice precisa retornar a Fortaleza, sua cidade natal, para renovar a autorização de residência. Escondida em um hotel, enquanto evita que a mãe descubra os problemas em que se envolveu, Greice tenta encontrar um lugar de conforto no mundo."
60,Amores Possíveis,2025-04-23,22:10,Romantic comedy / 2001,"Carlos e Júlia combinam de ir ao cinema, mas ela acaba não aparecendo. A partir daí, se desenrolam três histórias diferentes sobre os acontecimentos que poderiam vir em seguida, em três versões para um mesmo caso de amor."
61,Guard Dog & Bill Plympton no Brasil,2025-04-23,23:45,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
62,Espelho de Carne,2025-04-23,23:50,Drama / 1985 / 5.3,"Para presentear sua esposa Helena, o jovem executivo Álvaro compra em leilão um espelho que pertencia a uma casa de encontros amorosos do início do século 20. Porém, o espelho começa a causar estranho fascínio nas pessoas que se veem refletidas nele, induzindo-as ao amor voraz."
63,Guard Dog & Bill Plympton no Brasil,2025-04-23,01:40,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
64,Amadas e Violentadas,2025-04-23,01:45,Drama / 1976 / 5.3,"Leandro luta para se libertar de um trauma de infância, pois viu o pai cometer suicídio, depois de assassinar a esposa e o amante. Já adulto, ele tenta se curar de um complexo capaz de afastá-lo sexualmente das mulheres."
65,Guard Dog & Bill Plympton no Brasil,2025-04-23,03:25,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
66,Delírios de um Anormal,2025-04-23,03:30,Horror / 1978,"O psiquiatra Dr. Hamilton tem pesadelos recorrentes com o icônico personagem Zé do Caixão tentando raptar sua esposa Tânia. Desorientados, seus colegas médicos decidem buscar ajuda com o cineasta José Mojica Marins, criador do famoso coveiro. Agora, Mojica precisa convencer Hamilton que seu personagem é apenas uma obra de ficção."
67,Guard Dog & Bill Plympton no Brasil,2025-04-23,04:55,Children,Um ansioso e neurótico cãozinho se desgarra de seu dono Plympton e parte rumo a pequenas aventuras ao chegar no Brasil.
